match,market,question,prob,pct,source,note,commence,match_id,weather_adj,home_adv,referee,ref_card_factor,value,tier
Bosnia & Herzegovina vs Qatar,1st Half,Will Bosnia & Herzegovina lead at half-time?,0.4997,50.0,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.0,SKIP
Bosnia & Herzegovina vs Qatar,1st Half,Will Qatar lead at half-time?,0.1496,15.0,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.268,MEDIUM
Bosnia & Herzegovina vs Qatar,1st Half,Will it be level at half-time?,0.3507,35.1,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.114,SKIP
Bosnia & Herzegovina vs Qatar,1st Half,Will there be over 0.5 goals in the 1st half?,0.7704,77.0,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.207,MEDIUM
Bosnia & Herzegovina vs Qatar,1st Half,Will there be over 1.5 goals in the 1st half?,0.4428,44.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.044,SKIP
Bosnia & Herzegovina vs Qatar,2nd Half,Will there be over 1.5 goals in the 2nd half?,0.5477,54.8,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.036,SKIP
Bosnia & Herzegovina vs Qatar,BTTS,Will NOT both teams score?,0.4329,43.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.03,SKIP
Bosnia & Herzegovina vs Qatar,BTTS,Will both teams score?,0.5671,56.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.03,SKIP
Bosnia & Herzegovina vs Qatar,Cards,Will Bosnia & Herzegovina receive more cards than Qatar?,0.4747,47.5,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.025,SKIP
Bosnia & Herzegovina vs Qatar,Cards,Will there be over 2.5 total cards?,0.8494,84.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.349,MEDIUM
Bosnia & Herzegovina vs Qatar,Cards,Will there be over 3.5 total cards?,0.693,69.3,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.193,MEDIUM
Bosnia & Herzegovina vs Qatar,Cards,Will there be over 4.5 total cards?,0.5085,50.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.008,SKIP
Bosnia & Herzegovina vs Qatar,Corners,Will Bosnia & Herzegovina win more corners than Qatar?,0.347,34.7,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.153,MEDIUM
Bosnia & Herzegovina vs Qatar,Corners,Will there be over 10.5 total corners?,0.1364,13.6,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.364,MEDIUM
Bosnia & Herzegovina vs Qatar,Corners,Will there be over 8.5 total corners?,0.3359,33.6,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.164,MEDIUM
Bosnia & Herzegovina vs Qatar,Corners,Will there be over 9.5 total corners?,0.2218,22.2,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.278,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 1-0 Qatar?,0.0818,8.2,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.188,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 1-1 Qatar?,0.0867,8.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.186,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 2-0 Qatar?,0.0992,9.9,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.18,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 2-1 Qatar?,0.0971,9.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.181,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 3-0 Qatar?,0.077,7.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.19,MEDIUM
Bosnia & Herzegovina vs Qatar,Correct Score,Will the score be Bosnia & Herzegovina 3-1 Qatar?,0.0755,7.5,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.191,MEDIUM
Bosnia & Herzegovina vs Qatar,Double Chance,Bosnia & Herzegovina or Draw (1X),0.8601,86.0,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.324,MEDIUM
Bosnia & Herzegovina vs Qatar,Double Chance,Bosnia & Herzegovina or Qatar (12),0.8119,81.2,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.281,MEDIUM
Bosnia & Herzegovina vs Qatar,Double Chance,Qatar or Draw (X2),0.328,32.8,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.155,MEDIUM
Bosnia & Herzegovina vs Qatar,First To Score,Will Bosnia & Herzegovina score first?,0.676,67.6,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.111,SKIP
Bosnia & Herzegovina vs Qatar,First To Score,Will Qatar score first?,0.2841,28.4,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.136,MEDIUM
Bosnia & Herzegovina vs Qatar,First To Score,Will there be no goals (0-0)?,0.0398,4.0,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.29,MEDIUM
Bosnia & Herzegovina vs Qatar,Fouls,Will Bosnia & Herzegovina commit more fouls than Qatar?,0.7833,78.3,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.283,MEDIUM
Bosnia & Herzegovina vs Qatar,Fouls,Will Bosnia & Herzegovina commit over 11.5 fouls?,0.757,75.7,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.257,MEDIUM
Bosnia & Herzegovina vs Qatar,Fouls,Will Qatar commit over 11.5 fouls?,0.2889,28.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.211,MEDIUM
Bosnia & Herzegovina vs Qatar,Fouls,Will there be over 20.5 total fouls?,0.7623,76.2,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.262,MEDIUM
Bosnia & Herzegovina vs Qatar,Fouls,Will there be over 22.5 total fouls?,0.6145,61.4,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.115,SKIP
Bosnia & Herzegovina vs Qatar,Fouls,Will there be over 24.5 total fouls?,0.4525,45.2,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.047,SKIP
Bosnia & Herzegovina vs Qatar,Half Compare,Will the 2nd half have more goals than the 1st?,0.52,52.0,heuristic,2H slightly goal-heavier on average,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.001,SKIP
Bosnia & Herzegovina vs Qatar,Handicap,Will Bosnia & Herzegovina avoid losing by 2+ (+1.5)?,0.9522,95.2,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.346,MEDIUM
Bosnia & Herzegovina vs Qatar,Handicap,Will Bosnia & Herzegovina win by 2+ goals?,0.4483,44.8,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.04,SKIP
Bosnia & Herzegovina vs Qatar,Handicap,Will Bosnia & Herzegovina win by 3+ goals?,0.2485,24.9,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.192,MEDIUM
Bosnia & Herzegovina vs Qatar,Handicap,Will Qatar avoid losing by 2+ (+1.5)?,0.5517,55.2,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.04,SKIP
Bosnia & Herzegovina vs Qatar,Handicap,Will Qatar win by 2+ goals?,0.0478,4.8,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.346,MEDIUM
Bosnia & Herzegovina vs Qatar,Moneyline,Will Bosnia & Herzegovina win the match?,0.672,67.2,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.138,MEDIUM
Bosnia & Herzegovina vs Qatar,Moneyline,Will Qatar win the match?,0.1399,14.0,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.288,MEDIUM
Bosnia & Herzegovina vs Qatar,Moneyline,Will the match end in a draw?,0.1881,18.8,sharp:pinnacle,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.25,MEDIUM
Bosnia & Herzegovina vs Qatar,Offsides,Will Bosnia & Herzegovina be caught offside 2 or more times?,0.5585,55.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.058,SKIP
Bosnia & Herzegovina vs Qatar,Offsides,Will Bosnia & Herzegovina be caught offside more often than Qatar?,0.3769,37.7,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.123,MEDIUM
Bosnia & Herzegovina vs Qatar,Offsides,Will Qatar be caught offside 2 or more times?,0.5833,58.3,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.083,SKIP
Bosnia & Herzegovina vs Qatar,Offsides,Will there be over 2.5 total offsides?,0.7365,73.7,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.237,MEDIUM
Bosnia & Herzegovina vs Qatar,Offsides,Will there be over 3.5 total offsides?,0.5334,53.3,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.033,SKIP
Bosnia & Herzegovina vs Qatar,Offsides,Will there be over 4.5 total offsides?,0.3387,33.9,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.161,MEDIUM
Bosnia & Herzegovina vs Qatar,Shots,Will Bosnia & Herzegovina have more shots on target than Qatar?,0.5041,50.4,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.004,SKIP
Bosnia & Herzegovina vs Qatar,Shots,Will Bosnia & Herzegovina have more shots than Qatar?,0.541,54.1,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.041,SKIP
Bosnia & Herzegovina vs Qatar,Shots,Will there be over 20.5 total shots?,0.5154,51.5,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.015,SKIP
Bosnia & Herzegovina vs Qatar,Shots,Will there be over 24.5 total shots?,0.2076,20.8,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.292,MEDIUM
Bosnia & Herzegovina vs Qatar,Shots,Will there be over 7.5 total shots on target?,0.3784,37.8,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.122,MEDIUM
Bosnia & Herzegovina vs Qatar,Shots,Will there be over 8.5 total shots on target?,0.2511,25.1,teamstat,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.249,MEDIUM
Bosnia & Herzegovina vs Qatar,Team Total,Will Bosnia & Herzegovina score over 0.5?,0.9028,90.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.29,MEDIUM
Bosnia & Herzegovina vs Qatar,Team Total,Will Bosnia & Herzegovina score over 1.5?,0.6761,67.6,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.127,MEDIUM
Bosnia & Herzegovina vs Qatar,Team Total,Will Qatar score over 0.5?,0.6245,62.5,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.09,SKIP
Bosnia & Herzegovina vs Qatar,Team Total,Will Qatar score over 1.5?,0.2567,25.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.175,MEDIUM
Bosnia & Herzegovina vs Qatar,Total Goals,Will total goals be over 1.5?,0.846,84.6,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.125,MEDIUM
Bosnia & Herzegovina vs Qatar,Total Goals,Will total goals be over 2.5?,0.6426,64.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.051,SKIP
Bosnia & Herzegovina vs Qatar,Total Goals,Will total goals be over 3.5?,0.4219,42.2,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.028,SKIP
Bosnia & Herzegovina vs Qatar,Total Goals O/E,Will the total goals be even?,0.5073,50.7,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.001,SKIP
Bosnia & Herzegovina vs Qatar,Total Goals O/E,Will the total goals be odd?,0.4927,49.3,poisson,,2026-06-24T19:00:00Z,512ac18beb5aa936a59f7ea3e497ada2,0.98,0.0,,1.0,0.001,SKIP
Switzerland vs Canada,1st Half,Will Canada lead at half-time?,0.2197,22.0,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.214,MEDIUM
Switzerland vs Canada,1st Half,Will Switzerland lead at half-time?,0.2916,29.2,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.159,MEDIUM
Switzerland vs Canada,1st Half,Will it be level at half-time?,0.4887,48.9,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.009,SKIP
Switzerland vs Canada,1st Half,Will there be over 0.5 goals in the 1st half?,0.6042,60.4,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.08,SKIP
Switzerland vs Canada,1st Half,Will there be over 1.5 goals in the 1st half?,0.2439,24.4,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.196,MEDIUM
Switzerland vs Canada,2nd Half,Will there be over 1.5 goals in the 2nd half?,0.3209,32.1,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.137,MEDIUM
Switzerland vs Canada,BTTS,Will NOT both teams score?,0.5817,58.2,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.037,SKIP
Switzerland vs Canada,BTTS,Will both teams score?,0.4183,41.8,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.037,SKIP
Switzerland vs Canada,Cards,Will Switzerland receive more cards than Canada?,0.2906,29.1,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.209,MEDIUM
Switzerland vs Canada,Cards,Will there be over 2.5 total cards?,0.8224,82.2,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.322,MEDIUM
Switzerland vs Canada,Cards,Will there be over 3.5 total cards?,0.6517,65.2,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.152,MEDIUM
Switzerland vs Canada,Cards,Will there be over 4.5 total cards?,0.4611,46.1,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.039,SKIP
Switzerland vs Canada,Corners,Will Switzerland win more corners than Canada?,0.5457,54.6,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.046,SKIP
Switzerland vs Canada,Corners,Will there be over 10.5 total corners?,0.3885,38.8,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.111,SKIP
Switzerland vs Canada,Corners,Will there be over 8.5 total corners?,0.6409,64.1,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.141,MEDIUM
Switzerland vs Canada,Corners,Will there be over 9.5 total corners?,0.5132,51.3,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.013,SKIP
Switzerland vs Canada,Correct Score,Will the score be Switzerland 0-0 Canada?,0.1304,13.0,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.166,MEDIUM
Switzerland vs Canada,Correct Score,Will the score be Switzerland 0-1 Canada?,0.1101,11.0,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.175,MEDIUM
Switzerland vs Canada,Correct Score,Will the score be Switzerland 1-0 Canada?,0.1392,13.9,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.162,MEDIUM
Switzerland vs Canada,Correct Score,Will the score be Switzerland 1-1 Canada?,0.1388,13.9,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.163,MEDIUM
Switzerland vs Canada,Correct Score,Will the score be Switzerland 2-0 Canada?,0.0835,8.4,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.187,MEDIUM
Switzerland vs Canada,Correct Score,Will the score be Switzerland 2-1 Canada?,0.0771,7.7,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.19,MEDIUM
Switzerland vs Canada,Double Chance,Canada or Draw (X2),0.5949,59.5,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.085,SKIP
Switzerland vs Canada,Double Chance,Switzerland or Canada (12),0.6907,69.1,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.172,MEDIUM
Switzerland vs Canada,Double Chance,Switzerland or Draw (1X),0.7144,71.4,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.193,MEDIUM
Switzerland vs Canada,First To Score,Will Canada score first?,0.3862,38.6,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.072,SKIP
Switzerland vs Canada,First To Score,Will Switzerland score first?,0.4834,48.3,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.01,SKIP
Switzerland vs Canada,First To Score,Will there be no goals (0-0)?,0.1304,13.0,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.233,MEDIUM
Switzerland vs Canada,Fouls,Will Canada commit over 11.5 fouls?,0.3753,37.5,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.125,MEDIUM
Switzerland vs Canada,Fouls,Will Switzerland commit more fouls than Canada?,0.4975,49.8,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.003,SKIP
Switzerland vs Canada,Fouls,Will Switzerland commit over 11.5 fouls?,0.4318,43.2,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.068,SKIP
Switzerland vs Canada,Fouls,Will there be over 20.5 total fouls?,0.5894,58.9,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.089,SKIP
Switzerland vs Canada,Fouls,Will there be over 22.5 total fouls?,0.4192,41.9,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.081,SKIP
Switzerland vs Canada,Fouls,Will there be over 24.5 total fouls?,0.2671,26.7,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.233,MEDIUM
Switzerland vs Canada,Half Compare,Will the 2nd half have more goals than the 1st?,0.52,52.0,heuristic,2H slightly goal-heavier on average,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.001,SKIP
Switzerland vs Canada,Handicap,Will Canada avoid losing by 2+ (+1.5)?,0.8262,82.6,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.25,MEDIUM
Switzerland vs Canada,Handicap,Will Canada win by 2+ goals?,0.1019,10.2,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.305,MEDIUM
Switzerland vs Canada,Handicap,Will Switzerland avoid losing by 2+ (+1.5)?,0.8981,89.8,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.305,MEDIUM
Switzerland vs Canada,Handicap,Will Switzerland win by 2+ goals?,0.1738,17.4,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.25,MEDIUM
Switzerland vs Canada,Handicap,Will Switzerland win by 3+ goals?,0.0563,5.6,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.339,MEDIUM
Switzerland vs Canada,Moneyline,Will Canada win the match?,0.2856,28.6,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.172,MEDIUM
Switzerland vs Canada,Moneyline,Will Switzerland win the match?,0.4051,40.5,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.076,SKIP
Switzerland vs Canada,Moneyline,Will the match end in a draw?,0.3093,30.9,sharp:pinnacle,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.153,MEDIUM
Switzerland vs Canada,Offsides,Will Canada be caught offside 2 or more times?,0.3995,39.9,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.1,SKIP
Switzerland vs Canada,Offsides,Will Switzerland be caught offside 2 or more times?,0.5144,51.4,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.014,SKIP
Switzerland vs Canada,Offsides,Will Switzerland be caught offside more often than Canada?,0.4581,45.8,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.042,SKIP
Switzerland vs Canada,Offsides,Will there be over 2.5 total offsides?,0.5988,59.9,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.099,SKIP
Switzerland vs Canada,Offsides,Will there be over 3.5 total offsides?,0.3751,37.5,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.125,MEDIUM
Switzerland vs Canada,Offsides,Will there be over 4.5 total offsides?,0.2018,20.2,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.298,MEDIUM
Switzerland vs Canada,Shots,Will Switzerland have more shots on target than Canada?,0.5364,53.6,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.036,SKIP
Switzerland vs Canada,Shots,Will Switzerland have more shots than Canada?,0.419,41.9,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.081,SKIP
Switzerland vs Canada,Shots,Will there be over 20.5 total shots?,0.868,86.8,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.368,MEDIUM
Switzerland vs Canada,Shots,Will there be over 24.5 total shots?,0.6161,61.6,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.116,SKIP
Switzerland vs Canada,Shots,Will there be over 7.5 total shots on target?,0.6855,68.5,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.185,MEDIUM
Switzerland vs Canada,Shots,Will there be over 8.5 total shots on target?,0.5549,55.5,teamstat,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.055,SKIP
Switzerland vs Canada,Team Total,Will Canada score over 0.5?,0.6027,60.3,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.074,SKIP
Switzerland vs Canada,Team Total,Will Canada score over 1.5?,0.236,23.6,poisson,,2026-06-24T19:00:00Z,c9ef5822ee64fd5275f7c73251bb56c7,0.98,-0.28,,1.0,0.19,MEDIUM
